RA    DEC      velocity   
       176.67671       62.594236      3804.56
       177.57970       62.052719      3745.45
       176.95595       61.719382      3832.33
       175.50977       62.154181      3764.89
       177.43097       62.421950      3772.99
       184.05388       63.443317      2899.05
       186.27915       61.657680      1892.04
       185.16683       63.101411      3948.44
       190.99891       62.332739      2764.71
       197.26729       62.083776      2975.26
       208.68545       60.075580      3026.27
       208.12144       59.674491      2163.72
       206.87238       60.720628      310.179
       214.62780       58.184038      2073.41
       217.82548       58.761385      3054.55
       226.72674       55.538484      3223.23
       227.37851       54.634320      3051.07
       226.31693       55.827861      906.248
       228.50054       55.539614      3489.85
       228.43839       55.790572      3362.30
       229.67568       53.000776      3911.07
       236.29815       51.101570      3618.41
       45.542838     -0.68467196      3979.66
       45.412775      -1.1969015      2578.22
       44.646696     -0.45058413      1177.25
       46.576369      0.44476048      3498.27
       47.137104     -0.99397445      2544.37
       48.256593      0.17784556      2273.69
       54.720437     -0.84885202      222.758
       53.749180     -0.83171725      237.596
       54.332333     -0.41182455      225.088
       40.611930     0.047651266      112.214
       46.616180     -0.87902121      3191.99
       237.57389       50.098875      3656.25
       242.41248       46.572380      2883.38
       242.41184       45.278609      1977.04
       128.42047       38.649965      2218.29
       145.08125       47.777336      838.113
       145.13159       47.510182      3528.48
       177.77012       5.2462067      1633.07
       184.54829       4.6445416      2178.98
       191.17488       5.4301996      2574.35
       192.35723       4.3926965      2668.06
       192.42525       5.4894917      851.117
       192.49669       5.8211938      768.783
       192.69499       4.8899368      878.466
       193.43088       4.1543500      920.714
       193.41749       4.0756796      1076.59
       208.04516       5.5029893      1392.44
       116.18270       25.141028      1001.44
       130.65857       37.595833      2196.10
       149.50410       47.324587      781.502
       160.71621       50.105150      1972.59
       162.78343       51.336548      1106.21
       164.70649       49.715906      1135.99
       176.11116       51.058386      1611.90
       179.50903       51.349470      824.171
       178.46817       51.493779      742.559
       179.52612       52.987290      3610.15
       181.27022       53.029107      3496.39
       182.31365       53.160801      3794.61
       183.23278       53.460583      1462.80
       188.76449       51.427292      744.146
       113.97418       26.897368      355.817
       127.92176       41.081626      863.562
       141.56958       48.393466      979.610
       142.94312       49.252631      3886.44
       142.15557       50.325531      1794.29
       143.64492       49.906839      2247.93
       151.27983       53.785670      1025.45
       153.92002       52.534385      1457.39
       158.77696       55.146566      3957.58
       167.82742       55.669834      1119.65
       168.76401       57.238062      2262.70
       169.95253       55.722595      898.620
       167.81011       55.668074      1119.65
       170.36413       57.768511      2262.42
       212.85007      -3.1674383      1737.55
       214.82311      -2.2488524      2579.87
       215.55064      -1.8911588      1154.70
       224.08588      -2.7615355      1942.95
       235.07709     -0.81251595      3519.66
       126.27058       32.017628      920.342
       141.58371       40.024382      3796.25
       146.64519       42.191942      2508.65
       151.93076       45.968540      3543.83
       154.94329       45.518010      1124.21
       154.67915       46.045520      866.926
       155.71106       56.325655      3918.46
       162.88733       57.007420      2218.77
       171.85683       58.638235      1595.90
       177.50075       59.062712      3427.11
       177.26888       59.582632      3497.10
       177.02309       59.358380      3493.70
       176.98685       58.992987      2633.04
       176.47247       59.574862      3432.12
       177.93013       59.836068      3451.52
       181.57371       58.992620      3328.08
       180.61234       58.985569      3774.25
       179.25092       59.053864      2813.25
       179.15066       59.469595      3391.66
       205.78034       58.227666      487.574
       158.80028       46.236704      800.792
       177.18808       49.358362      1097.24
       178.49243       50.180191      1155.84
       181.87117       49.028199      3410.10
       181.43168       50.555325      906.001
       182.19911       51.196425      908.583
       182.84609       50.269968      1073.87
       185.51523       49.013073      3541.51
       183.64690       49.113371      3485.83
       184.09628       51.087297      3445.92
       183.70201       50.271068      3999.09
       187.52099       49.611026      3434.07
       186.61129       49.111053      3464.15
       258.15264       32.275934      3411.39
       259.79923       26.921999      338.195
       309.74146     -0.28137489      3861.53
       311.34737      0.49252659      3799.83
       311.40173      0.51049183      3857.18
       311.56810     0.089115732      3306.68
       311.65878      0.33935634      3503.37
       311.67012      0.50942716      3963.08
       311.77321     0.087777306      3388.65
       311.82916      0.21013100      3405.71
       312.86019     0.056002962      3898.48
       312.50232      0.70509153      3987.04
       313.83940      -1.2059667      3402.68
       315.94698     -0.83044512      1348.01
       318.00391     -0.28040429      3269.03
       316.60043     -0.60936415      3290.07
       318.90509     -0.40906573      3197.77
       318.28203       1.2297020      3975.49
       146.48284       5.0495751      3921.36
       154.54281       7.1430059      3980.94
       157.10317       6.2386317      3708.88
       158.47818       7.4777699      136.649
       158.66147       7.0314391      3953.66
       160.27128       6.4148483      3630.03
       161.18861       7.9985143      2615.71
       165.32065       6.0726727      2523.27
       150.10658       50.379356      830.319
       162.87309       54.034951      1683.59
       168.70299       55.027814      293.372
       170.86993       54.336607      2147.39
       170.25023       52.725152      2977.15
       168.69130       55.009207      286.797
       174.95166       54.521176      1082.42
       179.26439       54.277269      3732.34
       179.38237       54.184261      3739.43
       180.38813       54.684834      3500.33
       179.26297       55.586895      1062.03
       179.96548       55.665418      1024.53
       181.28291       53.897512      3692.80
       183.35819       54.608797      2598.20
       310.51242     -0.91552705      325.279
       311.53963      0.24176323      3965.14
       311.70799      0.66179324      3941.65
       311.91741      0.35912120      3924.80
       313.60250       1.0954124      3770.77
       316.23078     -0.58869870      1336.44
       315.83752     -0.43005913      3318.65
       315.30130      0.15979760      2472.82
       319.55472     -0.86286830      3017.17
       333.17305      0.51187111      3987.55
       333.04753      0.67159023      3758.24
       193.36234       55.848861      279.796
       206.26120       53.570274      2964.57
       208.48583       53.764844      155.108
       211.96369       50.902408      2311.29
       215.64772       50.572334      3815.01
       215.18667       51.136730      3510.19
       217.39361       49.637878      3716.23
       217.09160       49.561317      967.599
       217.80344       50.973346      3479.28
       218.68550       50.454060      3857.85
       223.13345       49.016804      2442.45
       223.65053       48.669366      2347.67
       224.67105       46.916496      2702.68
       116.57605       28.120330      367.319
       51.705026   -0.0072453489      232.005
       45.463356     -0.90785368      2151.85
       44.105569      0.57482973      3905.80
       41.584659     -0.23424542      2668.81
       32.688648     -0.80241957      3341.83
       26.401256     -0.81624157      2432.53
       25.805650    -0.047439143      3246.14
       25.700714      0.30426067      3289.67
       24.827574     -0.45838337      3467.82
       21.023894      0.98473375      1870.84
       22.638701      0.91771990      2474.59
       19.336082     -0.94815642      1695.36
       20.482377       1.1530387      2407.70
       20.576384       1.0982964      2148.55
       20.304489      0.18705974      3778.86
       19.087246     -0.91139142      1503.24
       17.515265    -0.010124762      1093.32
       14.302547     -0.36596167      2935.44
       13.300468      -1.1611030      204.512
       3.4198240      -1.1121331      3486.50
       358.65545    -0.083804992      2145.69
       348.46614      -1.1753458      3642.62
       337.51678      -1.1585383      3329.46
       337.77555     -0.19536552      1458.43
       337.25030     0.019993565      1845.30
       336.31662      0.61882703      794.172
       337.31164       1.0988642      1831.05
       336.78415      0.55841741      3929.59
       337.02621      0.13352132      1340.97
       329.76222     -0.55513785      2815.75
       330.77240     0.069975667      2839.79
       318.89364     -0.87303445      3826.03
       319.90274      0.78809379      2970.03
       315.69955      0.15973603      3933.20
       124.04549       1.0836778      418.026
       56.240766       1.1502801      814.369
       215.83691       57.232275      2155.91
       220.09150       54.224849      934.030
       224.08628       53.726941      3342.72
       223.67903       52.429165      3184.74
       224.47340       53.767392      3041.36
       227.11308       50.911071      3670.57
       226.31227       51.158594      3440.41
       226.94598       52.515580      3541.78
       228.32453       52.783195      3416.83
       239.27428       45.521339      2543.61
       125.55656       4.1977121      3982.57
       129.09114       4.7734382      1998.54
       135.94648       5.8066845      3947.94
       135.75037       5.8065399      3994.51
       141.93555       7.3270311      244.297
       142.44232       8.0432556      2307.45
       134.94546       39.384927      862.549
       145.01378       44.992210      1667.09
       144.88200       45.903386      3395.82
